rank,movie,,,,,,,,,,
1,Mars Needs Moms,biggest_money_losers,0,150000000,21392758,39549758,5.4,5,26339114,170166000,-143826886
2,John Carter,biggest_money_losers,0,275000000,73058679,282778100,6.6,5.7,179330743,307124000,-127793257
3,The Lone Ranger,biggest_money_losers,0,275000000,89302115,260002115,6.5,4.8,176224549,301886000,-125661451
4,Jack the Giant Slayer,biggest_money_losers,0,195000000,65187603,197687603,6.3,5.7,123055057,228504000,-105448943
5,How Do You Know?,biggest_money_losers,0,120000000,30212620,49628177,5.4,4.9,35507802,140454000,-104946198
6,Pan,biggest_money_losers,0,150000000,35088320,123888320,5.8,4.6,74095312,174726000,-100630688
7,47 Ronin,biggest_money_losers,0,175000000,38362475,151659062,6.3,4.1,92247545,189988000,-97740455
8,Jupiter Ascending,biggest_money_losers,0,179000000,47482519,181982519,5.4,4.3,109133054,206582000,-97448946
9,R.I.P.D.,biggest_money_losers,0,130000000,33618855,79072464,5.6,3.6,54608023,147884000,-93275977
10,Tomorrowland,biggest_money_losers,0,170000000,93436322,205336322,6.5,5.9,113536578,205644000,-92107422
11,Hugo,biggest_money_losers,0,180000000,73864507,180047784,7.5,8.3,124148718,215796000,-91647282
12,Evan Almighty,biggest_money_losers,0,175000000,100289690,174131329,5.4,4.4,125391753,212964000,-87572247
13,Gods of Egypt,biggest_money_losers,0,140000000,31153464,133553464,5.5,3.5,77448924,161930000,-84481076
14,Speed Racer,biggest_money_losers,0,120000000,43945766,93394462,6.1,5.1,69202009,149420000,-80217991
15,The Wolfman,biggest_money_losers,0,150000000,62189884,142634358,5.8,4.8,98247637,174496000,-76248363
16,Poseidon,biggest_money_losers,0,160000000,60674817,181674817,5.6,4.9,118112541,194338000,-76225459
17,The Invasion,biggest_money_losers,0,80000000,15074191,40147042,5.9,4.3,24954249,96162000,-71207751
18,Legends of Oz: DorothyÍs Return,biggest_money_losers,0,70000000,8462347,20107933,5.6,3.5,11902257,82674000,-70771743
19,Green Lantern,biggest_money_losers,0,200000000,116601172,231201172,5.6,4.6,161915961,231524000,-69608039
20,Ender's Game,biggest_money_losers,0,110000000,61737191,89737191,6.7,6,70907285,139462000,-68554715
1,El Mariachi,low_budget_winners,0,7000,2040920,2041928,6.9,7,,,
2,Slacker,low_budget_winners,0,23000,1227508,1227508,7.1,7.3,,,
3,Deep Throat,low_budget_winners,0,25000,45000000,45000000,5.2,,,,
4,In the Company of Men,low_budget_winners,0,25000,2883661,2883661,7.3,7.9,,,
5,Clerks,low_budget_winners,0,27000,3073428,3894240,7.8,7.4,,,
6,The Brothers McMullen,low_budget_winners,0,50000,10426506,10426506,6.6,7.1,,,
7,Gabriela,low_budget_winners,0,50000,2335352,2335352,6.9,,,,
8,Super Size Me,low_budget_winners,0,65000,11529368,22233808,7.3,7.7,,,
9,Pi,low_budget_winners,0,68000,3221152,4678513,7.5,7.3,,,
10,The Last House on the Left,low_budget_winners,0,87000,3100000,3100000,6,5.4,,,
11,Eraserhead,low_budget_winners,0,100000,7000000,7000000,7.4,8.3,,,
12,Facing the Giants,low_budget_winners,0,100000,10178331,10243159,6.7,4.1,,,
13,Hollywood Shuffle,low_budget_winners,0,100000,5228617,5228617,7,6.6,,,
14,The Mighty,low_budget_winners,0,100000,2652246,6121582,7.3,6.8,,,
15,Over the Hill to the Poorhouse,low_budget_winners,0,100000,3000000,3000000,4.8,,,,
16,The Gallows,low_budget_winners,0,100000,22764410,41753881,4.2,3.2,,,
17,The Birth of a Nation,low_budget_winners,0,110000,10000000,11000000,6.8,8,,,
18,Night of the Living Dead,low_budget_winners,0,114000,12000000,30000000,8,8.8,,,
19,Your Sister's Sister,low_budget_winners,0,120000,1597486,3090593,6.7,7,,,
20,Cat People,low_budget_winners,0,134000,4000000,8000000,7.4,8.3,,,
